Año;Mes;Mes Corto;Mes Numero;Codigo IPRESS;Clinica Descripcion;Region;Provincia;Distrito;Competencia;Cant Atenciones Medicas;Cirugia Mayor Efectiva;Cirugia Menor Efectiva
2026;JUNIO;JUN;6;17703;OPRECE;LIMA;LIMA;MAGDALENA;LIMA CENTRO;;;
2026;JUNIO;JUN;6;29299;Mas Vision;LIMA;LIMA;LINCE;LIMA CENTRO;233;3;169
2026;JUNIO;JUN;6;11358;Confia Instituto Oftalmologico;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;361;26;37
2026;JUNIO;JUN;6;9933;Clinica Oftalmologica Macula D&T ;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;1707;0;102
2026;JUNIO;JUN;6;15182;Clinica Optima Vision;LIMA;LIMA;MIRAFLORES;LIMA CENTRO;533;0;8
2026;JUNIO;JUN;6;13900;OftalmoSalud - Surco;LIMA;LIMA;SURCO;LIMA CENTRO;471;0;5
2026;JUNIO;JUN;6;23741;Clinica Oftalmo Vissum;LIMA;LIMA;SURCO;LIMA CENTRO;355;0;35
2026;JUNIO;JUN;6;15461;Vista Salud Centro Oftalmologico;LIMA;LIMA;SURCO;LIMA CENTRO;477;0;25
2026;JUNIO;JUN;6;17676;OftalmoSalud - SJM;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA CENTRO;3096;0;64
2026;JUNIO;JUN;6;11167;Oftalmomedic;LIMA;LIMA;CERCADO;LIMA CENTRO;530;51;24
2026;JUNIO;JUN;6;12020;Clinica Oftalmologica Ñahui Salud - Surquillo;LIMA;LIMA;SURQUILLO;LIMA CENTRO;8682;0;279
2026;JUNIO;JUN;6;9483;Oculaser SAC;LIMA;LIMA;LIMA;LIMA CENTRO;711;0;154
2026;JUNIO;JUN;6;15927;Clinica de Ojos D'opeluse;LIMA;LIMA;LINCE;LIMA CENTRO;5741;129;39
2026;JUNIO;JUN;6;23852;Oftalmosalud - Los Olivos;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;2817;0;31
2026;JUNIO;JUN;6;10739;Clinica Oftalmologica Wong;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;2090;90;201
